,Currency,DailyHigh,DailyHighDate,DailyHighTime,DailyLow,DailyLowDate,DailyLowTime,DailyOpen,DailyOpenDate,DailyOpenTime,LastSale,LastSaleDate,LastSaleSize,LastSaleTime,LastYearClose,LastYearCloseDate,PriceSource,PriceUsedForCalculations,PriceUsedForCalculationsDate,PriceUsedForCalculationsTime,ShortName,Symbol,YearlyHigh,YearlyHighDate,YearlyLow,YearlyLowDate,YieldToMaturity,Valoren
24354755,USD,100.706,11/10/2016,11:39:59 AM,99.799,11/10/2016,2:55:08 PM,100.53,11/10/2016,8:09:54 AM,100.2304,11/10/2016,4000,5:20:54 PM,98.399,12/31/2015,FINRA,100.2304,11/10/2016,4:26:13 AM,Apple Notes 2014-6.5.19 Sr Fltg Rt,AAPL4122391,101.8824,5/5/2016,95.801,2/19/2016,1.0883,24354755
27018516,USD,100.951,11/10/2016,10:14:31 AM,99.786,11/10/2016,2:43:29 PM,99.8041,11/10/2016,7:52:07 AM,99.818,11/10/2016,5000,5:20:45 PM,99.884,12/31/2015,FINRA,99.818,11/10/2016,4:26:13 AM,Apple 1.55 % Notes 2015-7.2.20 Sr,AAPL4208638,102.7482,7/5/2016,98.444,2/29/2016,1.6143,27018516
27018526,USD,98.946,11/10/2016,3:46:00 AM,97.75,11/10/2016,4:42:46 PM,98.946,11/10/2016,3:46:00 AM,97.75,11/10/2016,50000,5:20:45 PM,96.27,12/31/2015,FINRA,97.75,11/10/2016,4:26:13 AM,Apple 2 1/2 % Notes 2015-9.2.25 Sr,AAPL4208641,104.235,7/13/2016,94.898,2/8/2016,2.8275,27018526
27018527,USD,91.901,11/10/2016,8:54:37 AM,90.238,11/10/2016,4:12:43 PM,90.505,11/10/2016,8:17:28 AM,90.238,11/10/2016,3000000,5:20:42 PM,85.0,12/30/2015,FINRA,90.238,11/10/2016,4:26:13 AM,Apple 3.45 % Notes 2015-9.2.45 Sr,AAPL4208639,101.658,8/31/2016,82.293,2/17/2016,4.0727,27018527
28185169,USD,100.128,8/3/2016,4:42:05 PM,100.128,8/3/2016,4:42:05 PM,100.128,8/3/2016,4:42:05 PM,100.128,8/3/2016,400000,5:20:47 PM,99.935,12/31/2015,FINRA,100.128,8/3/2016,9:18:32 PM,Apple Notes 2015-12.5.17 Sr Fltg Rt,AAPL4242662,100.128,8/3/2016,99.8661,1/20/2016,0.0,28185169
28185178,USD,98.95,11/4/2016,8:21:29 AM,98.95,11/4/2016,8:21:29 AM,98.95,11/4/2016,8:21:29 AM,98.95,11/4/2016,15000,5:20:55 PM,99.35,12/23/2015,FINRA,99.554,8/8/2016,9:18:32 PM,Apple Notes 2015-6.5.20 Sr Fltg Rt,AAPL4242663,101.524,7/15/2016,98.125,2/25/2016,1.044,28185178
28185181,USD,100.088,11/10/2016,11:37:40 AM,99.988,11/10/2016,11:37:40 AM,100.071,11/10/2016,10:50:00 AM,100.0009,11/10/2016,15000,5:20:46 PM,100.0,12/31/2015,FINRA,100.0009,11/10/2016,4:26:13 AM,Apple 0.9 % Notes 2015-12.5.17 Sr,AAPL4242664,100.634,2/5/2016,97.4636,1/15/2016,0.8961,28185181
28185185,USD,101.769,11/10/2016,12:08:28 PM,101.191,11/10/2016,7:48:46 AM,101.191,11/10/2016,7:48:46 AM,101.769,11/10/2016,26000,5:20:45 PM,100.2,12/31/2015,FINRA,101.769,11/10/2016,4:26:13 AM,Apple 2 % Notes 2015-6.5.20 Sr,AAPL4242668,104.042,4/5/2016,99.716,4/27/2016,1.5452,28185185
28185186,USD,102.857,11/10/2016,2:52:36 PM,102.257,11/10/2016,12:09:54 PM,102.655,11/10/2016,5:00:00 AM,102.276,11/10/2016,150000,5:20:42 PM,100.756,12/31/2015,FINRA,102.276,11/10/2016,4:26:13 AM,Apple 2.7 % Notes 2015-13.5.22 Sr,AAPL4242669,106.798,8/15/2016,100.575,2/17/2016,2.3044,28185186
28185187,USD,104.402,11/11/2016,11:24:30 AM,104.402,11/11/2016,11:24:30 AM,104.402,11/11/2016,11:24:30 AM,104.402,11/11/2016,100000,11:24:30 AM,101.904,12/31/2015,FINRA,104.402,11/11/2016,4:26:13 AM,Apple 3.2 % Notes 2015-13.5.25 Sr,AAPL4242665,109.834,7/5/2016,100.204,2/16/2016,2.6641,28185187
28185189,USD,105.955,11/10/2016,10:36:03 AM,103.348,11/10/2016,5:07:01 PM,105.047,11/10/2016,9:38:31 AM,103.348,11/10/2016,5000000,5:20:44 PM,101.49,12/31/2015,FINRA,103.348,11/10/2016,4:26:13 AM,Apple 4 3/8 % Notes 2015-13.5.45 Sr,AAPL4242667,114.6388,8/10/2016,96.584,2/17/2016,4.2184,28185189
31618387,USD,100.336,11/10/2016,9:28:38 AM,100.294,11/10/2016,3:38:22 PM,100.336,11/10/2016,9:28:38 AM,100.294,11/10/2016,100000,5:20:40 PM,0.0,,FINRA,100.294,11/10/2016,4:26:13 AM,Apple 1.3 % Notes 2016-23.2.18,AAPL4336432,101.378,3/28/2016,99.791,10/12/2016,1.0687,31618387
31618394,USD,101.071,11/10/2016,12:49:52 PM,100.751,11/10/2016,9:56:24 AM,100.751,11/10/2016,9:56:24 AM,100.976,11/10/2016,12000,5:20:40 PM,0.0,,FINRA,100.976,11/10/2016,4:26:13 AM,Apple 1.7 % Notes 2016-22.2.19,AAPL4336438,102.6593,6/16/2016,99.315,5/2/2016,1.2656,31618394
31618395,USD,101.6,11/8/2016,10:48:00 AM,101.6,11/8/2016,10:48:00 AM,101.6,11/8/2016,10:48:00 AM,101.6,11/8/2016,3887000,5:20:54 PM,0.0,,FINRA,101.1347,5/13/2016,3:16:29 PM,Apple Notes 2016-22.2.19 Fltg Rt,AAPL4336439,101.863,9/2/2016,100.114,2/17/2016,0.9324,31618395
31618396,USD,101.543,11/10/2016,11:39:42 AM,101.2524,11/10/2016,4:06:04 PM,101.405,11/10/2016,8:16:23 AM,101.2524,11/10/2016,1468000,5:20:42 PM,0.0,,FINRA,101.2524,11/10/2016,4:26:13 AM,Apple 2 1/4 % Notes 2016-23.2.21,AAPL4336435,104.579,9/1/2016,99.826,2/17/2016,1.952,31618396
31618398,USD,102.446,11/11/2016,11:42:16 AM,102.446,11/11/2016,11:42:16 AM,102.446,11/11/2016,11:42:16 AM,102.446,11/11/2016,50000,11:42:16 AM,0.0,,FINRA,102.446,11/11/2016,4:26:13 AM,Apple 3.25 % Notes 2016-23.2.26,AAPL4336441,110.2579,8/10/2016,99.78,2/17/2016,2.9679,31618398
31618399,USD,103.5481,11/10/2016,9:32:27 AM,102.227,11/10/2016,9:43:02 AM,103.5481,11/10/2016,9:32:27 AM,102.665,11/10/2016,6000,5:20:39 PM,0.0,,FINRA,103.9983,5/19/2016,3:16:29 PM,Apple Notes 2016-23.2.21 Fltg Rt,AAPL4336437,106.048,9/22/2016,98.032,5/5/2016,0.8418,31618399
31618400,USD,109.99,11/10/2016,12:53:37 PM,109.0478,11/10/2016,4:05:58 PM,109.483,11/10/2016,9:59:59 AM,109.0478,11/10/2016,1000000,5:20:40 PM,0.0,,FINRA,109.048,11/10/2016,4:26:13 AM,Apple 4 1/2 % Notes 2016-23.2.36,AAPL4336436,119.128,8/22/2016,99.1076,2/17/2016,3.868,31618400
31618401,USD,102.867,11/10/2016,12:00:41 PM,102.58,11/10/2016,2:00:07 PM,102.81,11/10/2016,10:19:16 AM,102.58,11/10/2016,5000000,5:20:40 PM,0.0,,FINRA,102.58,11/10/2016,4:26:13 AM,Apple 2.85 % Notes 2016-23.2.23 Global,AAPL4336434,107.7123,8/4/2016,99.824,2/17/2016,2.4183,31618401
31618402,USD,110.515,11/10/2016,9:38:09 AM,109.271,11/10/2016,3:07:33 PM,109.468,11/10/2016,8:20:19 AM,109.9,11/10/2016,5000000,5:20:40 PM,0.0,,FINRA,109.9,11/10/2016,4:26:13 AM,Apple 4.65 % Notes 2016-23.2.46,AAPL4336433,120.471,8/30/2016,99.01,2/17/2016,4.1093,31618402
27018533,USD,99.95,11/4/2016,9:59:57 AM,99.95,11/4/2016,9:59:57 AM,99.95,11/4/2016,9:59:57 AM,99.95,11/4/2016,100000,5:20:55 PM,99.0787,12/23/2015,FINRA,99.65,8/2/2016,4:47:34 AM,Apple Notes 2015-7.2.20 Sr Fltg Rt,AAPL4208636,100.383,7/5/2016,98.58,1/15/2016,0.9793,27018533
27018538,USD,100.055,11/11/2016,3:18:04 PM,100.055,11/11/2016,3:18:04 PM,100.055,11/11/2016,3:18:04 PM,100.055,11/11/2016,25000,3:18:04 PM,99.3583,12/31/2015,FINRA,100.055,11/11/2016,4:26:13 AM,Apple 2.15 % Notes 2015-9.2.22 Sr,AAPL4208635,106.177,10/17/2016,97.0763,1/7/2016,2.15,27018538
32859441,USD,100.543,6/27/2016,3:20:01 PM,100.543,6/27/2016,3:20:01 PM,100.543,6/27/2016,3:20:01 PM,100.543,6/27/2016,1000000,3:20:01 PM,0.0,,FINRA,0.0,,,Apple 4.15 % Notes 2016-22.06.46 Reg S,AAPL4377623,0.0,,0.0,,0.0,32859441
33461293,USD,99.916,11/2/2016,8:42:58 AM,99.886,11/2/2016,8:42:56 AM,99.916,11/2/2016,8:42:58 AM,99.916,11/2/2016,300000,5:20:43 PM,0.0,,FINRA,99.916,11/2/2016,3:24:08 PM,Apple Notes 2016-02.08.19 Floating Rate,AAPL4389214,100.91,11/1/2016,99.491,8/18/2016,0.9377,33461293
33461303,USD,99.268,11/10/2016,1:13:16 PM,99.078,11/10/2016,3:04:53 PM,99.219,11/10/2016,5:42:00 AM,99.078,11/10/2016,245000,5:20:44 PM,0.0,,FINRA,99.078,11/10/2016,4:26:13 AM,Apple 1.1 % Notes 2016-02.08.19,AAPL4389210,100.998,8/12/2016,99.074,11/9/2016,1.453,33461303
33461308,USD,98.601,11/10/2016,1:21:44 PM,97.777,11/10/2016,1:18:39 PM,98.0,11/10/2016,12:10:06 PM,98.094,11/10/2016,100000,5:20:44 PM,0.0,,FINRA,98.094,11/10/2016,4:26:13 AM,Apple 1.55 % Notes 2016-04.08.21,AAPL4389212,101.43,9/1/2016,97.649,8/16/2016,1.9847,33461308
33461312,USD,98.1117,11/10/2016,11:28:54 AM,96.211,11/10/2016,1:47:24 PM,97.619,11/10/2016,7:49:01 AM,96.65,11/10/2016,400000,5:20:44 PM,0.0,,FINRA,96.65,11/10/2016,4:26:13 AM,Apple 2.45 % Notes 2016-04.08.26,AAPL4389208,103.5366,8/25/2016,96.005,11/9/2016,2.8671,33461312
33461314,USD,99.1939,11/10/2016,11:30:18 AM,95.723,11/10/2016,4:15:31 PM,97.079,11/10/2016,7:41:40 AM,95.906,11/10/2016,100000,5:20:43 PM,0.0,,FINRA,95.906,11/10/2016,4:26:13 AM,Apple 3.85 % Notes 2016-04.08.46,AAPL4389215,106.933,8/22/2016,95.723,11/10/2016,4.1308,33461314
21311603,USD,99.807,11/11/2016,11:57:14 AM,99.807,11/11/2016,11:57:14 AM,99.807,11/11/2016,11:57:14 AM,99.807,11/11/2016,50000,11:57:14 AM,99.258,12/31/2015,FINRA,99.807,11/11/2016,4:26:13 AM,Apple 1 % Notes 2013-3.5.18 Sr,AAPL4001806,101.225,3/16/2016,97.322,9/29/2016,1.1365,21311603
21311621,USD,100.501,11/10/2016,4:27:15 PM,100.249,11/10/2016,2:04:58 PM,100.251,11/10/2016,11:11:14 AM,100.401,11/10/2016,20000,5:20:46 PM,99.78,12/31/2015,FINRA,100.0693,8/1/2016,4:46:18 AM,Apple Notes 2013-3.5.18 Sr Fltg Rt,AAPL4001811,100.842,9/20/2016,98.0,6/17/2016,0.8518,21311621
21311623,USD,100.849,11/10/2016,11:55:59 AM,99.31,11/10/2016,12:07:15 PM,99.884,11/10/2016,5:04:00 AM,99.3658,11/10/2016,439000,5:20:41 PM,98.094,12/31/2015,FINRA,99.3658,11/10/2016,4:26:13 AM,Apple 2.4 % Notes 2013-3.5.23 Sr Global,AAPL4001809,104.604,7/8/2016,95.927,1/29/2016,2.5225,21311623
21311624,USD,99.123,11/10/2016,12:13:52 PM,96.655,11/10/2016,11:06:04 AM,98.3,11/10/2016,7:23:28 AM,97.134,11/10/2016,2000,5:20:42 PM,95.004,12/31/2015,FINRA,97.134,11/10/2016,4:26:13 AM,Apple 3.85 % Notes 2013-4.5.43 Sr,AAPL4001810,107.3617,7/8/2016,88.96,2/17/2016,4.0675,21311624
24354743,USD,100.256,11/10/2016,1:48:19 PM,99.942,11/10/2016,3:41:27 PM,100.097,11/10/2016,7:46:52 AM,99.942,11/10/2016,5000,5:20:54 PM,100.387,12/31/2015,FINRA,99.942,11/10/2016,4:26:13 AM,Apple 1.05 % Notes 2014-5.5.17 Sr,AAPL4122395,101.2075,3/8/2016,98.633,2/11/2016,1.1776,24354743
24354748,USD,102.069,11/10/2016,12:30:46 PM,101.15,11/10/2016,2:47:26 PM,101.666,11/10/2016,9:41:06 AM,101.778,11/10/2016,2000000,5:20:53 PM,101.134,12/31/2015,FINRA,101.778,11/10/2016,4:26:13 AM,Apple 2.1 % Notes 2014-6.5.19 Sr,AAPL4122387,103.753,6/30/2016,100.38,1/27/2016,1.3707,24354748
24354749,USD,102.975,11/11/2016,8:42:49 AM,102.975,11/11/2016,8:42:49 AM,102.975,11/11/2016,8:42:49 AM,102.975,11/11/2016,15000,8:42:49 AM,102.789,12/31/2015,FINRA,102.975,11/11/2016,4:26:13 AM,Apple 2.85 % Notes 2014-6.5.21 Sr,AAPL4122392,107.526,7/6/2016,101.6306,1/27/2016,2.1602,24354749
24354751,USD,106.038,11/10/2016,10:29:52 AM,105.402,11/10/2016,10:06:17 AM,105.634,11/10/2016,8:47:34 AM,105.803,11/10/2016,50000,5:20:52 PM,103.702,12/31/2015,FINRA,105.803,11/10/2016,4:26:13 AM,Apple 3.45 % Notes 2014-6.5.24 Sr,AAPL4122390,111.169,9/7/2016,100.576,1/27/2016,2.6075,24354751
24354752,USD,109.0,11/11/2016,3:24:41 PM,105.787,11/11/2016,9:32:17 AM,105.787,11/11/2016,9:32:17 AM,109.0,11/11/2016,20000,3:24:41 PM,102.142,12/30/2015,FINRA,109.0,11/11/2016,4:26:13 AM,Apple 4.45 % Notes 2014-6.5.44 Sr,AAPL4122386,116.3541,8/23/2016,97.76,2/16/2016,3.9507,24354752
24354753,USD,100.067,10/17/2016,3:06:00 PM,100.0336,10/17/2016,2:39:34 PM,100.0386,10/17/2016,2:39:34 PM,100.067,10/17/2016,340000,5:20:56 PM,99.9594,12/30/2015,FINRA,100.143,8/4/2016,4:44:49 AM,Apple Notes 2014-5.5.17 Sr Fltg Rt,AAPL4122398,100.176,6/21/2016,98.75,4/19/2016,0.0,24354753
24354755,USD,100.706,11/10/2016,11:39:59 AM,99.799,11/10/2016,2:55:08 PM,100.53,11/10/2016,8:09:54 AM,100.2304,11/10/2016,4000,5:20:54 PM,98.399,12/31/2015,FINRA,100.2304,11/10/2016,4:26:13 AM,Apple Notes 2014-6.5.19 Sr Fltg Rt,AAPL4122391,101.8824,5/5/2016,95.801,2/19/2016,1.0883,24354755
27018516,USD,100.951,11/10/2016,10:14:31 AM,99.786,11/10/2016,2:43:29 PM,99.8041,11/10/2016,7:52:07 AM,99.818,11/10/2016,5000,5:20:45 PM,99.884,12/31/2015,FINRA,99.818,11/10/2016,4:26:13 AM,Apple 1.55 % Notes 2015-7.2.20 Sr,AAPL4208638,102.7482,7/5/2016,98.444,2/29/2016,1.6143,27018516
27018526,USD,98.946,11/10/2016,3:46:00 AM,97.75,11/10/2016,4:42:46 PM,98.946,11/10/2016,3:46:00 AM,97.75,11/10/2016,50000,5:20:45 PM,96.27,12/31/2015,FINRA,97.75,11/10/2016,4:26:13 AM,Apple 2 1/2 % Notes 2015-9.2.25 Sr,AAPL4208641,104.235,7/13/2016,94.898,2/8/2016,2.8275,27018526
27018527,USD,91.901,11/10/2016,8:54:37 AM,90.238,11/10/2016,4:12:43 PM,90.505,11/10/2016,8:17:28 AM,90.238,11/10/2016,3000000,5:20:42 PM,85.0,12/30/2015,FINRA,90.238,11/10/2016,4:26:13 AM,Apple 3.45 % Notes 2015-9.2.45 Sr,AAPL4208639,101.658,8/31/2016,82.293,2/17/2016,4.0727,27018527
27018533,USD,99.95,11/4/2016,9:59:57 AM,99.95,11/4/2016,9:59:57 AM,99.95,11/4/2016,9:59:57 AM,99.95,11/4/2016,100000,5:20:55 PM,99.0787,12/23/2015,FINRA,99.65,8/2/2016,4:47:34 AM,Apple Notes 2015-7.2.20 Sr Fltg Rt,AAPL4208636,100.383,7/5/2016,98.58,1/15/2016,0.9793,27018533
27018538,USD,100.055,11/11/2016,3:18:04 PM,100.055,11/11/2016,3:18:04 PM,100.055,11/11/2016,3:18:04 PM,100.055,11/11/2016,25000,3:18:04 PM,99.3583,12/31/2015,FINRA,100.055,11/11/2016,4:26:13 AM,Apple 2.15 % Notes 2015-9.2.22 Sr,AAPL4208635,106.177,10/17/2016,97.0763,1/7/2016,2.15,27018538
28185169,USD,100.128,8/3/2016,4:42:05 PM,100.128,8/3/2016,4:42:05 PM,100.128,8/3/2016,4:42:05 PM,100.128,8/3/2016,400000,5:20:47 PM,99.935,12/31/2015,FINRA,100.128,8/3/2016,9:18:32 PM,Apple Notes 2015-12.5.17 Sr Fltg Rt,AAPL4242662,100.128,8/3/2016,99.8661,1/20/2016,0.0,28185169
28185178,USD,98.95,11/4/2016,8:21:29 AM,98.95,11/4/2016,8:21:29 AM,98.95,11/4/2016,8:21:29 AM,98.95,11/4/2016,15000,5:20:55 PM,99.35,12/23/2015,FINRA,99.554,8/8/2016,9:18:32 PM,Apple Notes 2015-6.5.20 Sr Fltg Rt,AAPL4242663,101.524,7/15/2016,98.125,2/25/2016,1.044,28185178
28185181,USD,100.088,11/10/2016,11:37:40 AM,99.988,11/10/2016,11:37:40 AM,100.071,11/10/2016,10:50:00 AM,100.0009,11/10/2016,15000,5:20:46 PM,100.0,12/31/2015,FINRA,100.0009,11/10/2016,4:26:13 AM,Apple 0.9 % Notes 2015-12.5.17 Sr,AAPL4242664,100.634,2/5/2016,97.4636,1/15/2016,0.8961,28185181
28185185,USD,101.769,11/10/2016,12:08:28 PM,101.191,11/10/2016,7:48:46 AM,101.191,11/10/2016,7:48:46 AM,101.769,11/10/2016,26000,5:20:45 PM,100.2,12/31/2015,FINRA,101.769,11/10/2016,4:26:13 AM,Apple 2 % Notes 2015-6.5.20 Sr,AAPL4242668,104.042,4/5/2016,99.716,4/27/2016,1.5452,28185185
28185186,USD,102.857,11/10/2016,2:52:36 PM,102.257,11/10/2016,12:09:54 PM,102.655,11/10/2016,5:00:00 AM,102.276,11/10/2016,150000,5:20:42 PM,100.756,12/31/2015,FINRA,102.276,11/10/2016,4:26:13 AM,Apple 2.7 % Notes 2015-13.5.22 Sr,AAPL4242669,106.798,8/15/2016,100.575,2/17/2016,2.3044,28185186
28185187,USD,104.402,11/11/2016,11:24:30 AM,104.402,11/11/2016,11:24:30 AM,104.402,11/11/2016,11:24:30 AM,104.402,11/11/2016,100000,11:24:30 AM,101.904,12/31/2015,FINRA,104.402,11/11/2016,4:26:13 AM,Apple 3.2 % Notes 2015-13.5.25 Sr,AAPL4242665,109.834,7/5/2016,100.204,2/16/2016,2.6641,28185187
28185189,USD,105.955,11/10/2016,10:36:03 AM,103.348,11/10/2016,5:07:01 PM,105.047,11/10/2016,9:38:31 AM,103.348,11/10/2016,5000000,5:20:44 PM,101.49,12/31/2015,FINRA,103.348,11/10/2016,4:26:13 AM,Apple 4 3/8 % Notes 2015-13.5.45 Sr,AAPL4242667,114.6388,8/10/2016,96.584,2/17/2016,4.2184,28185189
31618387,USD,100.336,11/10/2016,9:28:38 AM,100.294,11/10/2016,3:38:22 PM,100.336,11/10/2016,9:28:38 AM,100.294,11/10/2016,100000,5:20:40 PM,0.0,,FINRA,100.294,11/10/2016,4:26:13 AM,Apple 1.3 % Notes 2016-23.2.18,AAPL4336432,101.378,3/28/2016,99.791,10/12/2016,1.0687,31618387
31618394,USD,101.071,11/10/2016,12:49:52 PM,100.751,11/10/2016,9:56:24 AM,100.751,11/10/2016,9:56:24 AM,100.976,11/10/2016,12000,5:20:40 PM,0.0,,FINRA,100.976,11/10/2016,4:26:13 AM,Apple 1.7 % Notes 2016-22.2.19,AAPL4336438,102.6593,6/16/2016,99.315,5/2/2016,1.2656,31618394
31618395,USD,101.6,11/8/2016,10:48:00 AM,101.6,11/8/2016,10:48:00 AM,101.6,11/8/2016,10:48:00 AM,101.6,11/8/2016,3887000,5:20:54 PM,0.0,,FINRA,101.1347,5/13/2016,3:16:29 PM,Apple Notes 2016-22.2.19 Fltg Rt,AAPL4336439,101.863,9/2/2016,100.114,2/17/2016,0.9324,31618395
31618396,USD,101.543,11/10/2016,11:39:42 AM,101.2524,11/10/2016,4:06:04 PM,101.405,11/10/2016,8:16:23 AM,101.2524,11/10/2016,1468000,5:20:42 PM,0.0,,FINRA,101.2524,11/10/2016,4:26:13 AM,Apple 2 1/4 % Notes 2016-23.2.21,AAPL4336435,104.579,9/1/2016,99.826,2/17/2016,1.952,31618396
31618398,USD,102.446,11/11/2016,11:42:16 AM,102.446,11/11/2016,11:42:16 AM,102.446,11/11/2016,11:42:16 AM,102.446,11/11/2016,50000,11:42:16 AM,0.0,,FINRA,102.446,11/11/2016,4:26:13 AM,Apple 3.25 % Notes 2016-23.2.26,AAPL4336441,110.2579,8/10/2016,99.78,2/17/2016,2.9679,31618398
31618399,USD,103.5481,11/10/2016,9:32:27 AM,102.227,11/10/2016,9:43:02 AM,103.5481,11/10/2016,9:32:27 AM,102.665,11/10/2016,6000,5:20:39 PM,0.0,,FINRA,103.9983,5/19/2016,3:16:29 PM,Apple Notes 2016-23.2.21 Fltg Rt,AAPL4336437,106.048,9/22/2016,98.032,5/5/2016,0.8418,31618399
31618400,USD,109.99,11/10/2016,12:53:37 PM,109.0478,11/10/2016,4:05:58 PM,109.483,11/10/2016,9:59:59 AM,109.0478,11/10/2016,1000000,5:20:40 PM,0.0,,FINRA,109.048,11/10/2016,4:26:13 AM,Apple 4 1/2 % Notes 2016-23.2.36,AAPL4336436,119.128,8/22/2016,99.1076,2/17/2016,3.868,31618400
31618401,USD,102.867,11/10/2016,12:00:41 PM,102.58,11/10/2016,2:00:07 PM,102.81,11/10/2016,10:19:16 AM,102.58,11/10/2016,5000000,5:20:40 PM,0.0,,FINRA,102.58,11/10/2016,4:26:13 AM,Apple 2.85 % Notes 2016-23.2.23 Global,AAPL4336434,107.7123,8/4/2016,99.824,2/17/2016,2.4183,31618401
31618402,USD,110.515,11/10/2016,9:38:09 AM,109.271,11/10/2016,3:07:33 PM,109.468,11/10/2016,8:20:19 AM,109.9,11/10/2016,5000000,5:20:40 PM,0.0,,FINRA,109.9,11/10/2016,4:26:13 AM,Apple 4.65 % Notes 2016-23.2.46,AAPL4336433,120.471,8/30/2016,99.01,2/17/2016,4.1093,31618402
32859441,USD,100.543,6/27/2016,3:20:01 PM,100.543,6/27/2016,3:20:01 PM,100.543,6/27/2016,3:20:01 PM,100.543,6/27/2016,1000000,3:20:01 PM,0.0,,FINRA,0.0,,,Apple 4.15 % Notes 2016-22.06.46 Reg S,AAPL4377623,0.0,,0.0,,0.0,32859441
