ISIN_Stock,Exchange Ticker,MyName,MyAssetClass,RIC,Instrument Description,Asset Category Code,Asset Category Description,ISIN,Dividend Yield Relative to Sector,Net Dividend Yield,5 Year Dividend Per Share Growth,Issuer Rating,Business Description,GICS Sector Code,GICS Sector Name,GICS Industry Group Name,GICS Industry Name,GICS Sub-Industry Name,Company Market Cap,Company Name
US4581401001,INTC,Intel Corp,ORD,INTC.O,Intel Corp,ORD,Ordinary Share,US4581401001,121.7740702,NULL,5.857321166,F1,"Intel Corporation is engaged in the design and manufacture of digital technology platforms. The Company's segments include Client Computing Group (CCG), Data Center Group (DCG), Internet of Things Group (IOTG), Software and Services (SSG) and All Other. CCG segment includes platforms designed for notebooks (including Ultrabook devices), 2 in 1 systems, desktops (including all-in-ones and personal computers (PCs)), tablets, phones, wireless and wired connectivity products, and mobile communication components. DCG segment includes server, network and storage platforms designed for the enterprise, cloud, communications infrastructure and technical computing segments. IOTG segment includes platforms designed for Internet of Things market segments, including retail, transportation, industrial, and buildings and home use. SSG segment includes Intel Security Group, and Software and Services group. All Other segment includes Non-Volatile Memory Solutions Group and the New Devices Group.",45,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,1.64E+11,Intel Corp
US4781601046,JNJ,Johnson & Johnson,ORD,JNJ,Johnson & Johnson,ORD,Ordinary Share,US4781601046,98.38645652,NULL,6.961037573,Aaa,"Johnson & Johnson is a holding company, which is engaged in the research and development, manufacture and sale of a range of products in the healthcare field. The Company's segments include Consumer, Pharmaceutical and Medical Devices. The Consumer segment includes a range of products used in the baby care, oral care, skin care, over-the-counter pharmaceutical, women's health and wound care markets. The Pharmaceutical segment is focused on over five therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, and cardiovascular and metabolic diseases. The Medical Devices segment includes a range of products used in the orthopedic, surgery, cardiovascular, diabetes care and vision care fields. Its research facilities are located in the United States, Belgium, Brazil, Canada, China, France, Germany, India, Israel, Japan, the Netherlands, Singapore, Switzerland and the United Kingdom.",35,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,3.22E+11,Johnson & Johnson
US46625H1005,JPM,JPMorgan Chase & Co,ORD,JPM,JPMorgan Chase & Co,ORD,Ordinary Share,US46625H1005,108.8482607,NULL,18.1260188,F1,"JPMorgan Chase & Co. is a financial holding company. The Company is engaged in investment banking, financial services. It operates in four segments, as well as a Corporate segment. Its segments are Consumer & Community Banking, Corporate & Investment Bank, Commercial Banking and Asset Management. The Consumer & Community Banking segment serves consumers and businesses through personal service at bank branches and through automatic teller machines, online, mobile and telephone banking. The Corporate & Investment Bank segment, comprising Banking and Markets & Investor Services, offers investment banking, market-making, prime brokerage, and treasury and securities products and services to corporations, investors, financial institutions, and government and municipal entities. The Commercial Banking segment provides financial solutions, including lending, treasury services, investment banking and asset management. The Asset Management segment comprises investment and wealth management.",40,Financials,Banks,Banks,Diversified Banks,2.74E+11,JPMorgan Chase & Co
US1912161007,KO,Coca-Cola Co,ORD,KO,Coca-Cola Co,ORD,Ordinary Share,US1912161007,112.542899,NULL,8.329682611,F1,"The Coca-Cola Company is a beverage company. The Company owns or licenses and markets over 500 nonalcoholic beverage brands, primarily sparkling beverages but also a range of still beverages, such as waters, enhanced waters, juices and juice drinks, ready-to-drink teas and coffees, and energy and sports drinks. The Company's segments include Eurasia and Africa, Europe, Latin America, North America, Asia Pacific, Bottling Investments and Corporate. It owns and markets a range of nonalcoholic sparkling beverage brands, including Coca-Cola, Diet Coke, Fanta and Sprite. It markets, manufactures and sells beverage concentrates, which are referred to as beverage bases, and syrups, including fountain syrups (concentrate business or concentrate operations), and finished sparkling and still beverages (finished product business or finished product operations). In the United States, it manufactures fountain syrups and sells them to fountain retailers, such as restaurants and convenience stores.",30,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks,1.77E+11,Coca-Cola Co
US5801351017,MCD,McDonald's Corp,ORD,MCD,McDonald's Corp,ORD,Ordinary Share,US5801351017,120.6994465,NULL,7.368611335,BBB,"McDonald's Corporation (McDonald's) operates and franchises McDonald's restaurants. The Company's restaurants serve a locally-relevant menu of quality food and drinks sold at various price points in over 100 countries. The Company's segments include U.S., International Lead Markets, High Growth Markets and Foundational Markets and Corporate. Of the approximately 36,525 restaurants in over 120 countries, approximately 30,080 are franchised and over 6,444 are operated by the Company. McDonald's franchised restaurants are owned and operated under various structures, including conventional franchise, developmental license or affiliate. The Company is primarily a franchisor, with over 80% of McDonald's restaurants owned and operated by independent franchisees. Under a conventional franchise arrangement, the Company owns the land and building or secures a long-term lease for the restaurant location and the franchisee pays for equipment, signs, seating and decor.",25,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,94853271076,McDonald's Corp
US88579Y1010,MMM,3M Co,ORD,MMM,3M Co,ORD,Ordinary Share,US88579Y1010,91.96503198,NULL,15.07793439,P-1,"3M Company is a technology company. The Company operates through five segments. Its Industrial segment serves markets, such as automotive original equipment manufacturer and automotive aftermarket, electronics, appliance, paper and printing, packaging, food and beverage, and construction. Its Safety and Graphics segment serves markets for the safety, security and productivity of people, facilities and systems. Its Health Care segment serves markets that include medical clinics and hospitals, pharmaceuticals, dental and orthodontic practitioners, health information systems, and food manufacturing and testing. Its Electronics and Energy segment serves customers in electronics and energy markets, including solutions for electronic devices; electrical products; telecommunications networks, and power generation and distribution. Its Consumer segment serves markets that include consumer retail, office business to business, home improvement, drug and pharmacy retail, and other markets.",20,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,1.05E+11,3M Co
US58933Y1055,MRK,Merck & Co Inc,ORD,MRK,Merck & Co Inc,ORD,Ordinary Share,US58933Y1055,104.1047149,NULL,3.895047749,P-1,"Merck & Co., Inc. is a global healthcare company. The Company offers health solutions through its prescription medicines, vaccines, biologic therapies and animal health products, which it markets directly and through its joint ventures. It operates through one segment, Pharmaceutical. The Company's Pharmaceutical segment includes human health pharmaceutical and vaccine products marketed either directly by the Company or through joint ventures. Human health pharmaceutical products consist of therapeutic and preventive agents, generally sold by prescription, for the treatment of human disorders. The Company sells these human health pharmaceutical products primarily to drug wholesalers and retailers, hospitals, government agencies and managed healthcare providers. The Animal Health segment discovers, develops, manufactures and markets animal health products, including vaccines. The Company's animal health products are sold to veterinarians, distributors and animal producers.",35,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,1.76E+11,Merck & Co Inc
US5949181045,MSFT,Microsoft Corp,ORD,MSFT.O,Microsoft Corp,ORD,Ordinary Share,US5949181045,112.637043,NULL,16.67066799,P-1,"Microsoft Corporation is a technology company. The Company develops, licenses and supports a range of software products, services and devices. Its segments are Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. Its products include operating systems; cross-device productivity applications; server applications; business solution applications; desktop and server management tools; software development tools; video games, and training and certification of computer system integrators and developers. It also designs, manufactures, and sells devices, including personal computers, tablets, gaming and entertainment consoles, phones, other intelligent devices, and related accessories, that integrate with its cloud-based offerings. It offers an array of services, including cloud-based solutions that provide customers with software, services, platforms, and content, and it provides solution support and consulting services. It also delivers online advertising.",45,Information Technology,Software & Services,Software,Systems Software,4.59E+11,Microsoft Corp
US6541061031,NKE,Nike Inc,ORD,NKE,Nike Inc,ORD,Ordinary Share,US6541061031,101.4483907,NULL,15.67885797,P-1,"NIKE, Inc. is engaged in the design, development, marketing and selling of athletic footwear, apparel, equipment, accessories and services. The Company's operating segments include North America, Western Europe, Central & Eastern Europe, Greater China, Japan and Emerging Markets. Its portfolio brands include the NIKE Brand, Jordan Brand, Hurley and Converse. As of May 31, 2016, the Company focused its NIKE brand product offerings in nine categories: Running, NIKE Basketball, the Jordan Brand, Football (Soccer), Men's Training, Women's Training, Action Sports, Sportswear (its sports-inspired lifestyle products) and Golf. Men's Training includes its baseball and American football product offerings. It also markets products designed for kids, as well as for other athletic and recreational uses, such as cricket, lacrosse, tennis, volleyball, wrestling, walking and outdoor activities. The Company sells a range of performance equipment and accessories under the NIKE Brand name.",25,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Footwear,84554094639,Nike Inc
US7170811035,PFE,Pfizer Inc,ORD,PFE,Pfizer Inc,ORD,Ordinary Share,US7170811035,131.6936064,NULL,8.44717712,A1,"Pfizer Inc. (Pfizer) is a research-based global biopharmaceutical company. The Company is engaged in discovering, developing and manufacturing of healthcare products. The Company's segments include Pfizer Innovative Health (IH) and Pfizer Essential Health (EH). Its biopharmaceutical products include Lipitor, Sutent and the Premarin family of products. Its biotechnology products include BeneFIX, ReFacto and Xyntha. The Company's contract manufacturing business, Pfizer CentreOne, consists of its contract manufacturing and active pharmaceutical ingredient sales operation, including manufacturing and supply agreements with Zoetis Inc., and Hospira¡¯s One-2-One sterile injectables contract manufacturing operation. Its research focuses on six areas, which include immunology and inflammation, cardiovascular and metabolic diseases, oncology, vaccines, neuroscience and pain, and rare diseases. The Company's subsidiaries include Hospira, Inc. and Medivation, Inc.",35,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,1.98E+11,Pfizer Inc
US7427181091,PG,Procter & Gamble Co,ORD,PG,Procter & Gamble Co,ORD,Ordinary Share,US7427181091,111.1748462,NULL,5.368154028,WR,"The Procter & Gamble Company is focused on providing branded consumer packaged goods to the consumers across the world. The Company operates through five segments: Beauty; Grooming; Health Care; Fabric & Home Care, and Baby, Feminine & Family Care. The Company sells its products in approximately 180 countries and territories primarily through mass merchandisers, grocery stores, membership club stores, drug stores, department stores, distributors, baby stores, specialty beauty stores, e-commerce, high-frequency stores and pharmacies. The Company owns and operates approximately 20 manufacturing sites located in over 20 states in the United States. In addition, it owns and operates over 100 manufacturing sites in approximately 40 countries. It offers products under the brands, such as Olay, Old Spice, Safeguard, Head & Shoulders, Pantene, Rejoice, Mach3, Prestobarba, Venus, Cascade, Dawn, Febreze, Mr. Clean, Bounty and Charmin.",30,Consumer Staples,Household & Personal Products,Household Products,Household Products,2.24E+11,Procter & Gamble Co
US89417E1091,TRV,Travelers Companies Inc,ORD,TRV,Travelers Companies Inc,ORD,Ordinary Share,US89417E1091,105.4870188,NULL,10.69903854,BBB+,"The Travelers Companies, Inc. is a holding company. The Company, through its subsidiaries, is engaged in providing a range of commercial and personal property and casualty insurance products and services to businesses, government units, associations and individuals. It operates through three segments: Business and International Insurance; Bond & Specialty Insurance, and Personal Insurance. Business and International Insurance offers an array of property and casualty insurance and insurance related services to its clients, in the United States and in Canada, as well as in the United Kingdom, Brazil and throughout other parts of the world. Bond & Specialty Insurance provides surety, fidelity, management liability, professional liability, and other property and casualty coverages and related risk management services to a range of domestic customers. Personal Insurance writes a range of property and casualty insurance covering individuals' personal risks.",40,Financials,Insurance,Insurance,Property & Casualty Insurance,31326000494,Travelers Companies Inc
US91324P1021,UNH,UnitedHealth Group Inc,ORD,UNH,UnitedHealth Group Inc,ORD,Ordinary Share,US91324P1021,129.7637627,NULL,31.13285122,F1,"UnitedHealth Group Incorporated is a diversified healthcare company. The Company operates through four segments: UnitedHealthcare, OptumHealth, OptumInsight and OptumRx. The Company conducts its operations through two business platforms: health benefits operating under UnitedHealthcare and health services operating under Optum. UnitedHealthcare provides healthcare benefits to a range of customers and markets through its UnitedHealthcare Employer & Individual, UnitedHealthcare Medicare & Retirement, UnitedHealthcare Community & State, and UnitedHealthcare Global businesses. Optum is a health services business serving the healthcare marketplace, including payers, care providers, employers, governments, life sciences companies and consumers, through its OptumHealth, OptumInsight and OptumRx businesses.",35,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care,1.39E+11,UnitedHealth Group Inc
US9130171096,UTX,United Technologies Corp,ORD,UTX,United Technologies Corp,ORD,Ordinary Share,US9130171096,105.1313583,NULL,7.034674094,F2,"United Technologies Corporation is engaged in providing high technology products and services to the building systems and aerospace industries around the world. The Company operates through four segments: Otis; UTC Climate, Controls & Security; Pratt & Whitney, and UTC Aerospace Systems. Its Otis segment designs, manufactures, sells and installs a range of passenger and freight elevators, as well as a line of escalators and moving walkways. Its UTC Climate, Controls & Security segment, is the provider of heating, ventilating, air conditioning (HVAC) and refrigeration solutions. The Company's Pratt & Whitney segment supplies aircraft engines for the commercial, military, business jet and general aviation markets. Its UTC Aerospace Systems segment is a provider of aerospace products and aftermarket service solutions.",20,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,89635943087,United Technologies Corp
US92826C8394,V,Visa Inc,ORD,V,Visa Inc,ORD,Ordinary Share,US92826C8394,67.13995062,NULL,28.41868278,A+,"Visa Inc. is a payments technology company. The Company and its subsidiaries, including Visa U.S.A. Inc. (Visa U.S.A.), Visa International Service Association (Visa International), Visa Worldwide Pte. Limited, Visa Canada Corporation, Inovant LLC and CyberSource Corporation (CyberSource), operate a processing network, VisaNet, which facilitates authorization, clearing and settlement of payment transactions around the world. The Company also offers fraud protection for account holders and rapid payment for merchants. The Company provides its services to consumers, businesses, financial institutions and governments in over 200 countries and territories for electronic payments. It provides a range of payment solutions that support payment products that issuers can offer to their account holders, including pay now with debit, pay ahead with prepaid or pay later with credit products. It also offers a suite of digital, e-commerce, person-to-person payments, and mobile products and services.",45,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,1.93E+11,Visa Inc
US92343V1044,VZ,Verizon Communications Inc,ORD,VZ,Verizon Communications Inc,ORD,Ordinary Share,US92343V1044,94.57437907,NULL,2.976670365,F2,"Verizon Communications Inc. (Verizon) is a holding company. The Company, through its subsidiaries, provides communications, information and entertainment products and services to consumers, businesses and governmental agencies. The Company offers voice, data and video services and solutions on its wireless and wireline networks. The Company's segments include Wireless and Wireline. The Wireless segment offers communications products and services, including wireless voice and data services and equipment sales that are provided to consumer, business and government customers across the United States. The Wireline's segment offers voice, data and video communications products and services, such as broadband video and data, corporate networking solutions, data center and cloud services, security and managed network services and local and long distance voice services. The Company provides these products and services to consumers as well as to carriers, businesses and government customers.",50,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,1.90E+11,Verizon Communications Inc
US9311421039,WMT,Wal Mart Stores Inc,ORD,WMT,Wal Mart Stores Inc,ORD,Ordinary Share,US9311421039,126.1954079,NULL,6.496522811,WR,"Wal-Mart Stores, Inc. is engaged in the operation of retail, wholesale and other units in various formats around the world. The Company offers an assortment of merchandise and services at everyday low prices (EDLP). The Company operates through three segments: Walmart U.S., Walmart International and Sam's Club. The Walmart U.S. segment operates retail stores in approximately 50 states in the United States, Washington D.C. and Puerto Rico, with three primary store formats, as well as digital retail. The Walmart U.S. segment is a mass merchandiser of consumer products, operating under the Walmart or Wal-Mart brands, as well as walmart.com. The Walmart International segment consists of operations in over 27 countries outside of the United States. The Sam's Club consists of membership-only warehouse clubs and operates in approximately 48 states in the United States and in Puerto Rico, as well as digital retail.",30,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,2.20E+11,Wal Mart Stores Inc
US30231G1022,XOM,Exxon Mobil Corp,ORD,XOM,Exxon Mobil Corp,ORD,Ordinary Share,US30231G1022,92.02636206,NULL,10.00410885,AA+,"Exxon Mobil Corporation is an energy company. The Company is engaged in the exploration and production of crude oil and natural gas, manufacturing of petroleum products, and transportation and sale of crude oil, natural gas and petroleum products. The Company also manufactures and markets petrochemicals, including olefins, aromatics, polyethylene and polypropylene plastics, and various specialty products. The Company operates through the Upstream, Downstream, Chemical, and Corporate and Financing segments. The Upstream segment operates to explore for and produce crude oil and natural gas. The Downstream segment operates to manufacture and sell petroleum products. The Chemical segment operates to manufacture and sell petrochemicals. The Company's projects include the Kearl project, Heidelberg project, the Point Thomson project, the Hadrian South project, the Lucius project, the Barzan project, the Arkutun-Dagi project, and the Upper Zakum 750 project, among others.",10,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,3.55E+11,Exxon Mobil Corp
